Date,LQQ3_Price,TQQQ_Price,TQQQ_SMA200,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2012-12-13,299.7279968261719,1.0293606519699097,,0.0,10000.0,0.0,10000.0,HOLD,0.0,,0.0,10000.0,0.0
2012-12-14,290.92498779296875,1.0001778602600098,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,9706.300074520284,-2.936999254797157
2012-12-17,302.8739929199219,1.039153814315796,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10104.961702846014,1.049617028460137
2012-12-18,316.9289855957031,1.0873239040374756,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10573.886622259948,5.73886622259947
2012-12-19,311.84698486328125,1.0717334747314453,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10404.332867314288,4.043328673142876
2012-12-20,312.71600341796875,1.0725332498550415,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10433.326440283432,4.333264402834325
2012-12-21,302.635986328125,1.039153814315796,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10097.020950086275,0.9702095008627509
2012-12-24,300.31500244140625,1.0303590297698975,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10019.584610762098,0.19584610762097832
2012-12-27,291.81298828125,1.0003776550292969,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,9735.926952812746,-2.6407304718725433
2012-12-28,283.0530090332031,0.9713961482048035,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,9443.662655155986,-5.563373448440146
2012-12-31,300.77099609375,1.034757137298584,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10034.798192982387,0.34798192982388176
2013-01-02,329.7359924316406,1.1312971115112305,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11001.174262105116,10.011742621051155
2013-01-03,324.593994140625,1.114906668663025,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10829.618773613405,8.296187736134053
2013-01-04,321.8030090332031,1.10391366481781,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10736.501509394657,7.365015093946559
2013-01-07,321.6400146484375,1.10511314868927,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10731.06343265536,7.310634326553611
2013-01-08,319.6809997558594,1.0987166166305542,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10665.70367603195,6.657036760319501
2013-01-09,322.8089904785156,1.1099097728729248,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10770.064655178996,7.700646551789969
2013-01-10,328.6570129394531,1.1294978857040405,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10965.175639900557,9.651756399005574
2013-01-11,330.1000061035156,1.1336954832077026,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11013.319062581868,10.133190625818678
2013-01-14,325.5090026855469,1.1191036701202393,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10860.146737454319,8.601467374543192
2013-01-15,320.9460144042969,1.102514624595642,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10707.909097675332,7.079090976753322
2013-01-16,325.0840148925781,1.114906668663025,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10845.967621807165,8.459676218071642
2013-01-17,329.49200439453125,1.1320960521697998,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10993.033946896228,9.930339468962291
2013-01-18,328.06298828125,1.1256996393203735,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10945.356848713438,9.45356848713439
2013-01-22,329.0320129394531,1.130297303199768,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10977.686983651254,9.776869836512535
2013-01-23,334.7550048828125,1.1486862897872925,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11168.626502280154,11.686265022801546
2013-01-24,320.68499755859375,1.1029138565063477,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10699.200640391826,6.992006403918261
2013-01-25,325.32598876953125,1.1193042993545532,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10854.040737415831,8.54040737415831
2013-01-28,327.29400634765625,1.1272989511489868,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10919.700855888726,9.197008558887255
2013-01-29,327.7330017089844,1.1272989511489868,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10934.34731421016,9.3434731421016
2013-01-30,325.9739990234375,1.121103286743164,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10875.66068152409,8.756606815240907
2013-01-31,323.38800048828125,1.1139079332351685,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10789.382503891722,7.893825038917224
2013-02-01,334.885009765625,1.1504851579666138,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11172.96393102185,11.72963931021851
2013-02-04,317.28399658203125,1.0919209718704224,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10585.731060887216,5.857310608872157
2013-02-05,331.3110046386719,1.1398913860321045,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11053.722313128348,10.53722313128349
2013-02-06,328.1969909667969,1.1292977333068848,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10949.82765847982,9.498276584798205
2013-02-07,328.7820129394531,1.1320960521697998,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10969.346087817456,9.693460878174553
2013-02-08,339.1960144042969,1.1664743423461914,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11316.794493542577,13.16794493542577
2013-02-11,338.87200927734375,1.1660754680633545,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11305.984521488446,13.059845214884458
2013-02-12,334.4700012207031,1.1524832248687744,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11159.117758848533,11.591177588485335
2013-02-13,338.52398681640625,1.1658748388290405,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11294.37324511044,12.943732451104406
2013-02-14,337.6610107421875,1.1634763479232788,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11265.581270941966,12.655812709419667
2013-02-15,335.2070007324219,1.1534830331802368,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11183.706703475757,11.837067034757576
2013-02-19,342.20001220703125,1.1786671876907349,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,11417.018624572836,14.170186245728367
2013-02-20,326.3999938964844,1.1249006986618042,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10889.873396971354,8.898733969713547
2013-02-21,316.2170104980469,1.0883232355117798,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10550.132581756714,5.501325817567149
2013-02-22,325.1969909667969,1.1203029155731201,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10849.736908474246,8.497369084742456
2013-02-25,312.1889953613281,1.078529715538025,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10415.743563067384,4.157435630673834
2013-02-26,316.3550109863281,1.09152090549469,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10554.736772547782,5.547367725477814
2013-02-27,326.2539978027344,1.1247011423110962,,0.0,10000.0,0.0,10000.0,HOLD,0.0,0.0,0.0,10885.002444130914,8.850024441309134
